price_area_id,unit_qty,unit_price,eff_end_time
NO3,1000000,420550,2022-01-01 02:00:00
NO1,1000000,1316880,2022-01-01 02:00:00
NO2,1000000,1316880,2022-01-01 02:00:00
NO4,1000000,420550,2022-01-01 02:00:00
NO5,1000000,1316880,2022-01-01 02:00:00
NO5,1000000,1111090,2022-01-01 03:00:00
NO1,1000000,1111090,2022-01-01 03:00:00
NO2,1000000,1111090,2022-01-01 03:00:00
NO3,1000000,442380,2022-01-01 03:00:00
NO4,1000000,442380,2022-01-01 03:00:00
NO5,1000000,1120160,2022-01-01 04:00:00
NO1,1000000,1120160,2022-01-01 04:00:00
NO2,1000000,1120160,2022-01-01 04:00:00
NO3,1000000,375580,2022-01-01 04:00:00
NO4,1000000,375580,2022-01-01 04:00:00
NO4,1000000,395820,2022-01-01 05:00:00
NO1,1000000,1135620,2022-01-01 05:00:00
NO5,1000000,1135620,2022-01-01 05:00:00
NO2,1000000,1135620,2022-01-01 05:00:00
NO3,1000000,395820,2022-01-01 05:00:00
NO3,1000000,404690,2022-01-01 06:00:00
NO5,1000000,927240,2022-01-01 06:00:00
NO1,1000000,927240,2022-01-01 06:00:00
NO2,1000000,927240,2022-01-01 06:00:00
NO4,1000000,404690,2022-01-01 06:00:00
NO1,1000000,827530,2022-01-01 07:00:00
NO4,1000000,431320,2022-01-01 07:00:00
NO2,1000000,827530,2022-01-01 07:00:00
NO3,1000000,431320,2022-01-01 07:00:00
NO5,1000000,827530,2022-01-01 07:00:00
NO5,1000000,598220,2022-01-01 08:00:00
NO3,1000000,430120,2022-01-01 08:00:00
NO2,1000000,598220,2022-01-01 08:00:00
NO4,1000000,430120,2022-01-01 08:00:00
NO1,1000000,598220,2022-01-01 08:00:00
NO3,1000000,430020,2022-01-01 09:00:00
NO2,1000000,598220,2022-01-01 09:00:00
NO1,1000000,598220,2022-01-01 09:00:00
NO4,1000000,430020,2022-01-01 09:00:00
NO5,1000000,598220,2022-01-01 09:00:00
NO4,1000000,491240,2022-01-01 10:00:00
NO3,1000000,491240,2022-01-01 10:00:00
NO1,1000000,827530,2022-01-01 10:00:00
NO2,1000000,827530,2022-01-01 10:00:00
NO5,1000000,827530,2022-01-01 10:00:00
NO2,1000000,887360,2022-01-01 11:00:00
NO5,1000000,887360,2022-01-01 11:00:00
NO4,1000000,487450,2022-01-01 11:00:00
NO1,1000000,887360,2022-01-01 11:00:00
NO3,1000000,487450,2022-01-01 11:00:00
NO1,1000000,648070,2022-01-01 12:00:00
NO4,1000000,483060,2022-01-01 12:00:00
NO3,1000000,483060,2022-01-01 12:00:00
